,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta3,"[47, 86, 136, 181, 225, 266, 324, 364, 411, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.89,4.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
1,time_series_strategy,cpd_prob_freq_delta3,"[47, 87, 137, 180, 223, 266, 320, 364, 412, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,3.78,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
2,time_series_strategy,cpd_cramersv_frequency,"[47, 89, 137, 181, 227, 269, 319, 364, 411, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,4.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
3,threshold_strategy,gtest_frequency3,"[46, 87, 136, 180, 226, 268, 318, 362, 410, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,2.78,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
4,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 97, 101, 371, 374, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,18.2,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
5,threshold_strategy,fixed_cramersv_frequency,"[45, 88, 135, 180, 225, 269, 317, 364, 409, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",1.0,2.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Fixed,True,200,3,9
6,time_series_strategy,cpd_frequency_delta3,"[32, 66, 104, 134, 167, 201, 237, 270, 309, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",1.0,3.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
7,time_series_strategy,cpd_prob_freq_delta3,"[31, 65, 107, 129, 167, 200, 255, 270, 302, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.78,3.56,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
8,time_series_strategy,cpd_cramersv_frequency,"[34, 65, 102, 133, 169, 201, 239, 269, 308, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",1.0,3.67,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
9,threshold_strategy,gtest_frequency3,"[40, 55, 107, 128, 168, 172, 176, 199, 245, 268, 322, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.5,7.55,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
10,threshold_strategy,fixed_frequency_delta_percentage3,"[7, 24, 27, 72, 76, 91, 96, 141, 148, 230, 233, 273, 277, 286, 299, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.42,8.6,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
11,threshold_strategy,fixed_cramersv_frequency,"[33, 64, 101, 131, 168, 200, 219, 223, 238, 268, 307, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.9,4.45,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,True,200,3,9
12,time_series_strategy,cpd_frequency_delta3,"[63, 92, 113, 175, 185, 234, 257, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.37,11.43,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
13,time_series_strategy,cpd_prob_freq_delta3,"[37, 234, 258, 377, 393, 404, 417, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.5,10.29,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
14,time_series_strategy,cpd_cramersv_frequency,"[48, 91, 166, 185, 235, 258, 439, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.5,10.43,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
15,threshold_strategy,gtest_frequency3,"[145, 151, 175, 181, 234, 239, 243, 246, 349, 354, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.21,11.5,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
16,threshold_strategy,fixed_frequency_delta_percentage3,"[4, 100, 104, 278, 282, 378, 384, 462]","[42, 90, 136, 183, 229, 276, 322, 369, 416, 462]",0.12,13.43,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr10k.MXML,fr,10000,Fixed,1000,Fixed,True,200,3,9
