,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,log_size,change_pattern,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
0,time_series_strategy,cpd_frequency_delta3,"[63, 105, 211, 225, 326]","[104, 214, 326]",0.67,14.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
1,time_series_strategy,cpd_prob_freq_delta3,"[100, 111, 148, 208, 219, 326]","[104, 214, 326]",0.57,13.2,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
2,time_series_strategy,cpd_cramersv_frequency3,"[101, 112, 211, 225, 326]","[104, 214, 326]",0.67,6.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
3,threshold_strategy,gtest_frequency3,"[101, 216, 326]","[104, 214, 326]",1.0,2.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
4,threshold_strategy,fixed_frequency_delta_percentage3,"[10, 33, 44, 290, 294, 326]","[104, 214, 326]",0.0,76.2,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
5,threshold_strategy,fixed_cramersv_frequency3,"[100, 224, 326]","[104, 214, 326]",1.0,7.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove.mxml.gz,Size1,ConditionalMove,0,Fixed,2000,Fixed,True,200,3,14
6,time_series_strategy,cpd_frequency_delta3,"[70, 107, 216, 231, 305, 333]","[106, 218, 333]",0.57,27.8,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1,ConditionalMove_2,2,Fixed,2000,Fixed,True,200,3,14
7,time_series_strategy,cpd_prob_freq_delta3,"[101, 112, 152, 213, 224, 333]","[106, 218, 333]",0.57,13.6,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1,ConditionalMove_2,2,Fixed,2000,Fixed,True,200,3,14
8,time_series_strategy,cpd_cramersv_frequency3,"[106, 124, 168, 179, 190, 219, 333]","[106, 218, 333]",0.5,22.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1,ConditionalMove_2,2,Fixed,2000,Fixed,True,200,3,14
9,threshold_strategy,gtest_frequency3,"[107, 216, 333]","[106, 218, 333]",1.0,1.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_2.mxml.gz,Size1,ConditionalMove_2,2,Fixed,2000,Fixed,True,200,3,14
