Event order;case;event;startTime;completeTime;Concept drift;Activity name;Role;Department;Cost;Amount
0;0;A;2019/01/10 08:00:00;2019/01/10 08:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.948617023;9978.785972
1;1;A;2019/01/10 08:20:00;2019/01/10 08:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.11839414;13109.38173
2;0;B;2019/01/10 08:31:33;2019/01/10 08:31:33;No;Return application back to applicant;Loan Officer;Customer Service;6.973144954;9978.785972
3;2;A;2019/01/10 08:40:00;2019/01/10 08:40:00;No;Check application form completeness;Loan Officer;Customer Service;8.314431847;12012.53381
4;1;D;2019/01/10 08:56:26;2019/01/10 08:56:26;No;Check credit history;Credit Analyst;Customer Service;15.66796021;13109.38173
5;0;C;2019/01/10 08:58:05;2019/01/10 08:58:05;No;Receive updated application;Loan Officer;Customer Service;8.332378603;9978.785972
6;3;A;2019/01/10 09:00:00;2019/01/10 09:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.445166541;10560.4655
7;2;B;2019/01/10 09:05:17;2019/01/10 09:05:17;No;Return application back to applicant;Loan Officer;Customer Service;7.928424782;12012.53381
8;4;A;2019/01/10 09:20:00;2019/01/10 09:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.17628265;10783.10777
9;1;F;2019/01/10 09:28:32;2019/01/10 09:28:32;No;Appraise property;Appraiser;Customer Service;22.34438245;13109.38173
10;0;A;2019/01/10 09:33:17;2019/01/10 09:33:17;No;Check application form completeness;Loan Officer;Customer Service;9.406828199;9978.785972
11;2;C;2019/01/10 09:33:46;2019/01/10 09:33:46;No;Receive updated application;Loan Officer;Customer Service;7.851890697;12012.53381
12;3;B;2019/01/10 09:36:51;2019/01/10 09:36:51;No;Return application back to applicant;Loan Officer;Customer Service;7.312564929;10560.4655
13;5;A;2019/01/10 09:40:00;2019/01/10 09:40:00;No;Check application form completeness;Loan Officer;Customer Service;11.76571422;8072.16713
14;4;D;2019/01/10 09:49:32;2019/01/10 09:49:32;No;Check credit history;Credit Analyst;Customer Service;12.56038228;10783.10777
15;1;E;2019/01/10 09:51:52;2019/01/10 09:51:52;No;Assess loan risk;Risk Manager;Customer Service;22.75915319;13109.38173
16;6;A;2019/01/10 10:00:00;2019/01/10 10:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.399430896;8032.495672
17;0;B;2019/01/10 10:05:19;2019/01/10 10:05:19;No;Return application back to applicant;Loan Officer;Customer Service;7.353018865;9978.785972
18;2;A;2019/01/10 10:05:28;2019/01/10 10:05:28;No;Check application form completeness;Loan Officer;Customer Service;10.25761455;12012.53381
19;3;C;2019/01/10 10:08:30;2019/01/10 10:08:30;No;Receive updated application;Loan Officer;Customer Service;6.842715796;10560.4655
20;5;D;2019/01/10 10:09:21;2019/01/10 10:09:21;No;Check credit history;Credit Analyst;Customer Service;12.76786231;8072.16713
21;7;A;2019/01/10 10:20:00;2019/01/10 10:20:00;No;Check application form completeness;Loan Officer;Customer Service;10.66093971;11896.41523
22;4;F;2019/01/10 10:23:40;2019/01/10 10:23:40;No;Appraise property;Appraiser;Customer Service;26.99147282;10783.10777
23;1;G;2019/01/10 10:26:02;2019/01/10 10:26:02;No;Assess eligibility;Risk Manager;Customer Service;17.85295759;13109.38173
24;6;D;2019/01/10 10:30:25;2019/01/10 10:30:25;No;Check credit history;Credit Analyst;Customer Service;15.45491283;8032.495672
25;2;D;2019/01/10 10:31:26;2019/01/10 10:31:26;No;Check credit history;Credit Analyst;Customer Service;15.36163595;12012.53381
26;0;C;2019/01/10 10:34:57;2019/01/10 10:34:57;No;Receive updated application;Loan Officer;Customer Service;7.700793171;9978.785972
27;5;F;2019/01/10 10:37:49;2019/01/10 10:37:49;No;Appraise property;Appraiser;Customer Service;28.38636659;8072.16713
28;8;A;2019/01/10 10:40:00;2019/01/10 10:40:00;No;Check application form completeness;Loan Officer;Customer Service;8.211057043;11049.07384
29;3;A;2019/01/10 10:41:05;2019/01/10 10:41:05;No;Check application form completeness;Loan Officer;Customer Service;10.34196077;10560.4655
30;7;B;2019/01/10 10:49:08;2019/01/10 10:49:08;No;Return application back to applicant;Loan Officer;Customer Service;8.506275597;11896.41523
31;4;E;2019/01/10 10:51:31;2019/01/10 10:51:31;No;Assess loan risk;Risk Manager;Customer Service;21.40826289;10783.10777
32;1;H;2019/01/10 10:54:05;2019/01/10 10:54:05;No;Reject application;Loan Officer;Customer Service;9.838640658;13109.38173
33;9;A;2019/01/10 11:00:00;2019/01/10 11:00:00;No;Check application form completeness;Loan Officer;Customer Service;8.402745883;8276.220732
34;2;F;2019/01/10 11:04:58;2019/01/10 11:04:58;No;Appraise property;Appraiser;Customer Service;27.32079122;12012.53381
35;6;F;2019/01/10 11:05:04;2019/01/10 11:05:04;No;Appraise property;Appraiser;Customer Service;25.07342334;8032.495672
36;3;B;2019/01/10 11:09:23;2019/01/10 11:09:23;No;Return application back to applicant;Loan Officer;Customer Service;5.288326471;10560.4655
37;5;E;2019/01/10 11:10:18;2019/01/10 11:10:18;No;Assess loan risk;Risk Manager;Customer Service;19.67204278;8072.16713
38;0;A;2019/01/10 11:10:28;2019/01/10 11:10:28;No;Check application form completeness;Loan Officer;Customer Service;6.6928217;9978.785972
39;8;D;2019/01/10 11:11:59;2019/01/10 11:11:59;No;Check credit history;Credit Analyst;Customer Service;10.9914765;11049.07384
40;7;C;2019/01/10 11:18:08;2019/01/10 11:18:08;No;Receive updated application;Loan Officer;Customer Service;8.36466339;11896.41523
41;10;A;2019/01/10 11:20:00;2019/01/10 11:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.56880433;9869.515515
42;4;G;2019/01/10 11:21:15;2019/01/10 11:21:15;No;Assess eligibility;Risk Manager;Customer Service;16.50115083;10783.10777
43;9;D;2019/01/10 11:30:27;2019/01/10 11:30:27;No;Check credit history;Credit Analyst;Customer Service;18.01366898;8276.220732
44;2;E;2019/01/10 11:32:24;2019/01/10 11:32:24;No;Assess loan risk;Risk Manager;Customer Service;16.18270588;12012.53381
45;6;E;2019/01/10 11:35:09;2019/01/10 11:35:09;No;Assess loan risk;Risk Manager;Customer Service;21.23657129;8032.495672
46;3;C;2019/01/10 11:37:25;2019/01/10 11:37:25;No;Receive updated application;Loan Officer;Customer Service;7.096813599;10560.4655
47;8;F;2019/01/10 11:39:47;2019/01/10 11:39:47;No;Appraise property;Appraiser;Customer Service;29.52974394;11049.07384
48;11;A;2019/01/10 11:40:00;2019/01/10 11:40:00;No;Check application form completeness;Loan Officer;Customer Service;10.58202788;10176.32528
49;0;B;2019/01/10 11:41:08;2019/01/10 11:41:08;No;Return application back to applicant;Loan Officer;Customer Service;7.623238145;9978.785972
50;5;G;2019/01/10 11:43:32;2019/01/10 11:43:32;No;Assess eligibility;Risk Manager;Customer Service;15.57449426;8072.16713
51;10;B;2019/01/10 11:45:00;2019/01/10 11:45:00;No;Return application back to applicant;Loan Officer;Customer Service;6.38142341;9869.515515
52;7;A;2019/01/10 11:45:47;2019/01/10 11:45:47;No;Check application form completeness;Loan Officer;Customer Service;11.02697462;11896.41523
53;4;I;2019/01/10 11:53:45;2019/01/10 11:53:45;No;Prepare acceptance pack;Loan Officer;Customer Service;9.254599855;10783.10777
54;12;A;2019/01/10 12:00:00;2019/01/10 12:00:00;No;Check application form completeness;Loan Officer;Customer Service;10.71259167;9892.076361
55;9;F;2019/01/10 12:00:11;2019/01/10 12:00:11;No;Appraise property;Appraiser;Customer Service;28.12255563;8276.220732
56;6;G;2019/01/10 12:04:09;2019/01/10 12:04:09;No;Assess eligibility;Risk Manager;Customer Service;17.94213711;8032.495672
57;2;G;2019/01/10 12:04:31;2019/01/10 12:04:31;No;Assess eligibility;Risk Manager;Customer Service;13.31349767;12012.53381
58;8;E;2019/01/10 12:05:33;2019/01/10 12:05:33;No;Assess loan risk;Risk Manager;Customer Service;21.40832201;11049.07384
59;3;A;2019/01/10 12:06:11;2019/01/10 12:06:11;No;Check application form completeness;Loan Officer;Customer Service;11.26763001;10560.4655
60;11;D;2019/01/10 12:08:04;2019/01/10 12:08:04;No;Check credit history;Credit Analyst;Customer Service;12.90848122;10176.32528
61;7;D;2019/01/10 12:10:43;2019/01/10 12:10:43;No;Check credit history;Credit Analyst;Customer Service;15.775418;11896.41523
62;0;C;2019/01/10 12:11:01;2019/01/10 12:11:01;No;Receive updated application;Loan Officer;Customer Service;6.418421604;9978.785972
63;5;I;2019/01/10 12:14:18;2019/01/10 12:14:18;No;Prepare acceptance pack;Loan Officer;Customer Service;12.47079964;8072.16713
64;10;C;2019/01/10 12:15:57;2019/01/10 12:15:57;No;Receive updated application;Loan Officer;Customer Service;6.866038888;9869.515515
65;13;A;2019/01/10 12:20:00;2019/01/10 12:20:00;No;Check application form completeness;Loan Officer;Customer Service;11.00356113;8132.131013
66;9;E;2019/01/10 12:24:54;2019/01/10 12:24:54;No;Assess loan risk;Risk Manager;Customer Service;22.41122248;8276.220732
67;4;J;2019/01/10 12:25:27;2019/01/10 12:25:27;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;8.911113505;10783.10777
68;11;F;2019/01/10 12:33:57;2019/01/10 12:33:57;No;Appraise property;Appraiser;Customer Service;22.43513739;10176.32528
69;2;H;2019/01/10 12:34:21;2019/01/10 12:34:21;No;Reject application;Loan Officer;Customer Service;7.171222138;12012.53381
70;3;D;2019/01/10 12:35:03;2019/01/10 12:35:03;No;Check credit history;Credit Analyst;Customer Service;10.11562452;10560.4655
71;12;D;2019/01/10 12:37:07;2019/01/10 12:37:07;No;Check credit history;Credit Analyst;Customer Service;16.25099828;9892.076361
72;6;H;2019/01/10 12:38:01;2019/01/10 12:38:01;No;Reject application;Loan Officer;Customer Service;7.808839024;8032.495672
73;8;G;2019/01/10 12:39:47;2019/01/10 12:39:47;No;Assess eligibility;Risk Manager;Customer Service;17.10923306;11049.07384
74;14;A;2019/01/10 12:40:00;2019/01/10 12:40:00;No;Check application form completeness;Loan Officer;Customer Service;11.7068904;10140.42387
75;7;F;2019/01/10 12:40:16;2019/01/10 12:40:16;No;Appraise property;Appraiser;Customer Service;27.41230646;11896.41523
76;0;A;2019/01/10 12:42:12;2019/01/10 12:42:12;No;Check application form completeness;Loan Officer;Customer Service;10.66405564;9978.785972
77;10;A;2019/01/10 12:46:55;2019/01/10 12:46:55;No;Check application form completeness;Loan Officer;Customer Service;12.14285047;9869.515515
78;5;J;2019/01/10 12:46:55;2019/01/10 12:46:55;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;7.242316546;8072.16713
79;9;G;2019/01/10 12:50:19;2019/01/10 12:50:19;No;Assess eligibility;Risk Manager;Customer Service;22.00793062;8276.220732
80;13;D;2019/01/10 12:52:05;2019/01/10 12:52:05;No;Check credit history;Credit Analyst;Customer Service;14.93272973;8132.131013
81;4;K;2019/01/10 12:59:30;2019/01/10 12:59:30;No;Send home insurance quote;Insurance Agent;Customer Service;8.324699082;10783.10777
82;15;A;2019/01/10 13:00:00;2019/01/10 13:00:00;No;Check application form completeness;Loan Officer;Customer Service;12.7235873;11614.81179
83;3;F;2019/01/10 13:06:18;2019/01/10 13:06:18;No;Appraise property;Appraiser;Customer Service;24.78423035;10560.4655
84;11;E;2019/01/10 13:06:30;2019/01/10 13:06:30;No;Assess loan risk;Risk Manager;Customer Service;21.00886185;10176.32528
85;5;L;2019/01/10 13:08:11;2019/01/10 13:08:11;No;Send acceptance pack;Loan Officer;Customer Service;11.82128672;8072.16713
86;8;I;2019/01/10 13:08:32;2019/01/10 13:08:32;No;Prepare acceptance pack;Loan Officer;Customer Service;11.45782747;11049.07384
87;12;F;2019/01/10 13:08:52;2019/01/10 13:08:52;No;Appraise property;Appraiser;Customer Service;24.68135865;9892.076361
88;7;E;2019/01/10 13:10:27;2019/01/10 13:10:27;No;Assess loan risk;Risk Manager;Customer Service;24.82941207;11896.41523
89;14;B;2019/01/10 13:10:57;2019/01/10 13:10:57;No;Return application back to applicant;Loan Officer;Customer Service;5.302696333;10140.42387
90;0;B;2019/01/10 13:11:19;2019/01/10 13:11:19;No;Return application back to applicant;Loan Officer;Customer Service;6.422679655;9978.785972
91;10;B;2019/01/10 13:18:02;2019/01/10 13:18:02;No;Return application back to applicant;Loan Officer;Customer Service;5.745399133;9869.515515
92;9;H;2019/01/10 13:19:36;2019/01/10 13:19:36;No;Reject application;Loan Officer;Customer Service;10.52641819;8276.220732
93;16;A;2019/01/10 13:20:00;2019/01/10 13:20:00;No;Check application form completeness;Loan Officer;Customer Service;8.655145679;8182.934118
94;15;B;2019/01/10 13:25:12;2019/01/10 13:25:12;No;Return application back to applicant;Loan Officer;Customer Service;7.807607577;11614.81179
95;4;M;2019/01/10 13:25:54;2019/01/10 13:25:54;No;Verify repayment agreement;Loan Officer;Customer Service;10.71935656;10783.10777
96;13;F;2019/01/10 13:26:45;2019/01/10 13:26:45;No;Appraise property;Appraiser;Customer Service;31.77660524;8132.131013
97;11;G;2019/01/10 13:33:39;2019/01/10 13:33:39;No;Assess eligibility;Risk Manager;Customer Service;18.46448413;10176.32528
98;5;M;2019/01/10 13:36:26;2019/01/10 13:36:26;No;Verify repayment agreement;Loan Officer;Customer Service;11.20288955;8072.16713
99;12;E;2019/01/10 13:37:53;2019/01/10 13:37:53;No;Assess loan risk;Risk Manager;Customer Service;20.48276597;9892.076361
100;17;A;2019/01/10 13:40:00;2019/01/10 13:40:00;No;Check application form completeness;Loan Officer;Customer Service;12.23090553;9657.924317
101;14;C;2019/01/10 13:40:02;2019/01/10 13:40:02;No;Receive updated application;Loan Officer;Customer Service;8.385727613;10140.42387
102;7;G;2019/01/10 13:40:09;2019/01/10 13:40:09;No;Assess eligibility;Risk Manager;Customer Service;12.88710669;11896.41523
103;0;C;2019/01/10 13:40:19;2019/01/10 13:40:19;No;Receive updated application;Loan Officer;Customer Service;7.828576978;9978.785972
104;3;E;2019/01/10 13:40:45;2019/01/10 13:40:45;No;Assess loan risk;Risk Manager;Customer Service;20.65958579;10560.4655
105;8;J;2019/01/10 13:41:49;2019/01/10 13:41:49;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;11.48769753;11049.07384
106;16;B;2019/01/10 13:46:17;2019/01/10 13:46:17;No;Return application back to applicant;Loan Officer;Customer Service;6.868038679;8182.934118
107;10;C;2019/01/10 13:50:27;2019/01/10 13:50:27;No;Receive updated application;Loan Officer;Customer Service;8.353569009;9869.515515
108;4;N;2019/01/10 13:52:37;2019/01/10 13:52:37;No;Cancel application;Loan Officer;Customer Service;10.56114064;10783.10777
109;13;E;2019/01/10 13:54:02;2019/01/10 13:54:02;No;Assess loan risk;Risk Manager;Customer Service;22.58307614;8132.131013
110;15;C;2019/01/10 13:59:43;2019/01/10 13:59:43;No;Receive updated application;Loan Officer;Customer Service;7.928778254;11614.81179
111;18;A;2019/01/10 14:00:00;2019/01/10 14:00:00;No;Check application form completeness;Loan Officer;Customer Service;10.19743259;8673.066065
112;11;H;2019/01/10 14:04:22;2019/01/10 14:04:22;No;Reject application;Loan Officer;Customer Service;12.52176186;10176.32528
113;5;O;2019/01/10 14:06:26;2019/01/10 14:06:26;No;Approve application;Loan Officer;Customer Service;17.10147204;8072.16713
114;3;G;2019/01/10 14:06:35;2019/01/10 14:06:35;No;Assess eligibility;Risk Manager;Customer Service;19.8258082;10560.4655
115;14;A;2019/01/10 14:07:36;2019/01/10 14:07:36;No;Check application form completeness;Loan Officer;Customer Service;7.678488015;10140.42387
116;7;I;2019/01/10 14:07:46;2019/01/10 14:07:46;No;Prepare acceptance pack;Loan Officer;Customer Service;13.13312115;11896.41523
117;17;B;2019/01/10 14:08:02;2019/01/10 14:08:02;No;Return application back to applicant;Loan Officer;Customer Service;7.425679461;9657.924317
118;0;A;2019/01/10 14:08:13;2019/01/10 14:08:13;No;Check application form completeness;Loan Officer;Customer Service;9.333870809;9978.785972
119;12;G;2019/01/10 14:08:17;2019/01/10 14:08:17;No;Assess eligibility;Risk Manager;Customer Service;23.41837506;9892.076361
120;8;L;2019/01/10 14:16:07;2019/01/10 14:16:07;No;Send acceptance pack;Loan Officer;Customer Service;13.04890257;11049.07384
121;16;C;2019/01/10 14:17:50;2019/01/10 14:17:50;No;Receive updated application;Loan Officer;Customer Service;8.15500039;8182.934118
122;10;A;2019/01/10 14:19:13;2019/01/10 14:19:13;No;Check application form completeness;Loan Officer;Customer Service;9.380691427;9869.515515
123;19;A;2019/01/10 14:20:00;2019/01/10 14:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.29691721;10193.4704
124;13;G;2019/01/10 14:26:10;2019/01/10 14:26:10;No;Assess eligibility;Risk Manager;Customer Service;18.88992269;8132.131013
125;18;D;2019/01/10 14:28:56;2019/01/10 14:28:56;No;Check credit history;Credit Analyst;Customer Service;16.20480844;8673.066065
126;15;A;2019/01/10 14:29:07;2019/01/10 14:29:07;No;Check application form completeness;Loan Officer;Customer Service;11.19882888;11614.81179
127;7;J;2019/01/10 14:33:34;2019/01/10 14:33:34;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;11.10154364;11896.41523
128;12;I;2019/01/10 14:35:43;2019/01/10 14:35:43;No;Prepare acceptance pack;Loan Officer;Customer Service;13.40526761;9892.076361
129;17;C;2019/01/10 14:35:49;2019/01/10 14:35:49;No;Receive updated application;Loan Officer;Customer Service;8.584722233;9657.924317
130;14;B;2019/01/10 14:36:40;2019/01/10 14:36:40;No;Return application back to applicant;Loan Officer;Customer Service;8.399756137;10140.42387
131;3;I;2019/01/10 14:38:01;2019/01/10 14:38:01;No;Prepare acceptance pack;Loan Officer;Customer Service;12.2255928;10560.4655
132;20;A;2019/01/10 14:40:00;2019/01/10 14:40:00;No;Check application form completeness;Loan Officer;Customer Service;11.76687708;7407.224067
133;0;D;2019/01/10 14:41:05;2019/01/10 14:41:05;No;Check credit history;Credit Analyst;Customer Service;14.37836871;9978.785972
134;10;D;2019/01/10 14:45:04;2019/01/10 14:45:04;No;Check credit history;Credit Analyst;Customer Service;13.57462354;9869.515515
135;19;D;2019/01/10 14:46:32;2019/01/10 14:46:32;No;Check credit history;Credit Analyst;Customer Service;10.39136287;10193.4704
136;16;A;2019/01/10 14:46:56;2019/01/10 14:46:56;No;Check application form completeness;Loan Officer;Customer Service;12.09862553;8182.934118
137;8;M;2019/01/10 14:47:10;2019/01/10 14:47:10;No;Verify repayment agreement;Loan Officer;Customer Service;12.76996306;11049.07384
138;15;D;2019/01/10 14:56:08;2019/01/10 14:56:08;No;Check credit history;Credit Analyst;Customer Service;18.97345183;11614.81179
139;13;H;2019/01/10 14:56:09;2019/01/10 14:56:09;No;Reject application;Loan Officer;Customer Service;12.38434751;8132.131013
140;18;F;2019/01/10 14:58:12;2019/01/10 14:58:12;No;Appraise property;Appraiser;Customer Service;22.66980601;8673.066065
141;21;A;2019/01/10 15:00:00;2019/01/10 15:00:00;No;Check application form completeness;Loan Officer;Customer Service;11.36199716;11050.91258
142;14;C;2019/01/10 15:02:10;2019/01/10 15:02:10;No;Receive updated application;Loan Officer;Customer Service;7.5566448;10140.42387
143;17;A;2019/01/10 15:02:26;2019/01/10 15:02:26;No;Check application form completeness;Loan Officer;Customer Service;8.240386257;9657.924317
144;7;K;2019/01/10 15:03:47;2019/01/10 15:03:47;No;Send home insurance quote;Insurance Agent;Customer Service;7.14433594;11896.41523
145;12;J;2019/01/10 15:06:02;2019/01/10 15:06:02;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;10.40181563;9892.076361
146;0;F;2019/01/10 15:06:46;2019/01/10 15:06:46;No;Appraise property;Appraiser;Customer Service;19.58036824;9978.785972
147;3;J;2019/01/10 15:07:58;2019/01/10 15:07:58;No;Check if home insurance quote is requested;Insurance Agent;Customer Service;11.41419938;10560.4655
148;16;B;2019/01/10 15:11:50;2019/01/10 15:11:50;No;Return application back to applicant;Loan Officer;Customer Service;8.617500865;8182.934118
149;20;B;2019/01/10 15:12:11;2019/01/10 15:12:11;No;Return application back to applicant;Loan Officer;Customer Service;5.676802108;7407.224067
150;19;F;2019/01/10 15:14:38;2019/01/10 15:14:38;No;Appraise property;Appraiser;Customer Service;29.55201157;10193.4704
151;10;F;2019/01/10 15:14:55;2019/01/10 15:14:55;No;Appraise property;Appraiser;Customer Service;25.65042753;9869.515515
152;8;N;2019/01/10 15:15:16;2019/01/10 15:15:16;No;Cancel application;Loan Officer;Customer Service;6.997906054;11049.07384
153;22;A;2019/01/10 15:20:00;2019/01/10 15:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.38167195;9695.268422
154;18;E;2019/01/10 15:24:28;2019/01/10 15:24:28;No;Assess loan risk;Risk Manager;Customer Service;19.22512019;8673.066065
155;15;F;2019/01/10 15:28:36;2019/01/10 15:28:36;No;Appraise property;Appraiser;Customer Service;19.61244588;11614.81179
156;21;B;2019/01/10 15:29:28;2019/01/10 15:29:28;No;Return application back to applicant;Loan Officer;Customer Service;7.211500734;11050.91258
157;17;D;2019/01/10 15:32:18;2019/01/10 15:32:18;No;Check credit history;Credit Analyst;Customer Service;15.33479865;9657.924317
158;3;L;2019/01/10 15:34:49;2019/01/10 15:34:49;No;Send acceptance pack;Loan Officer;Customer Service;14.86363018;10560.4655
159;7;M;2019/01/10 15:35:58;2019/01/10 15:35:58;No;Verify repayment agreement;Loan Officer;Customer Service;10.96438431;11896.41523
160;12;L;2019/01/10 15:36:54;2019/01/10 15:36:54;No;Send acceptance pack;Loan Officer;Customer Service;10.23682188;9892.076361
161;0;E;2019/01/10 15:37:11;2019/01/10 15:37:11;No;Assess loan risk;Risk Manager;Customer Service;24.52073721;9978.785972
162;23;A;2019/01/10 15:40:00;2019/01/10 15:40:00;No;Check application form completeness;Loan Officer;Customer Service;12.88888397;8975.047643
163;14;A;2019/01/10 15:40:15;2019/01/10 15:40:15;No;Check application form completeness;Loan Officer;Customer Service;8.73460127;10140.42387
164;16;C;2019/01/10 15:43:22;2019/01/10 15:43:22;No;Receive updated application;Loan Officer;Customer Service;8.712651634;8182.934118
165;20;C;2019/01/10 15:44:45;2019/01/10 15:44:45;No;Receive updated application;Loan Officer;Customer Service;8.726246481;7407.224067
166;22;B;2019/01/10 15:45:10;2019/01/10 15:45:10;No;Return application back to applicant;Loan Officer;Customer Service;7.138095779;9695.268422
167;19;E;2019/01/10 15:46:06;2019/01/10 15:46:06;No;Assess loan risk;Risk Manager;Customer Service;12.99796334;10193.4704
168;10;E;2019/01/10 15:48:13;2019/01/10 15:48:13;No;Assess loan risk;Risk Manager;Customer Service;18.72426231;9869.515515
169;18;G;2019/01/10 15:55:28;2019/01/10 15:55:28;No;Assess eligibility;Risk Manager;Customer Service;21.26106249;8673.066065
170;21;C;2019/01/10 15:57:12;2019/01/10 15:57:12;No;Receive updated application;Loan Officer;Customer Service;7.777213049;11050.91258
171;3;M;2019/01/10 15:57:25;2019/01/10 15:57:25;No;Verify repayment agreement;Loan Officer;Customer Service;11.29809374;10560.4655
172;15;E;2019/01/10 15:58:20;2019/01/10 15:58:20;No;Assess loan risk;Risk Manager;Customer Service;18.66919454;11614.81179
173;17;F;2019/01/10 15:58:54;2019/01/10 15:58:54;No;Appraise property;Appraiser;Customer Service;29.27749123;9657.924317
174;24;A;2019/01/10 16:00:00;2019/01/10 16:00:00;No;Check application form completeness;Loan Officer;Customer Service;9.718043543;12374.72614
175;7;O;2019/01/10 16:02:16;2019/01/10 16:02:16;No;Approve application;Loan Officer;Customer Service;13.296811;11896.41523
176;12;M;2019/01/10 16:06:04;2019/01/10 16:06:04;No;Verify repayment agreement;Loan Officer;Customer Service;11.94962318;9892.076361
177;0;G;2019/01/10 16:07:31;2019/01/10 16:07:31;No;Assess eligibility;Risk Manager;Customer Service;19.19175788;9978.785972
178;23;D;2019/01/10 16:10:28;2019/01/10 16:10:28;No;Check credit history;Credit Analyst;Customer Service;14.44054934;8975.047643
179;14;D;2019/01/10 16:11:25;2019/01/10 16:11:25;No;Check credit history;Credit Analyst;Customer Service;15.25607572;10140.42387
180;16;A;2019/01/10 16:13:20;2019/01/10 16:13:20;No;Check application form completeness;Loan Officer;Customer Service;8.83655683;8182.934118
181;20;A;2019/01/10 16:14:58;2019/01/10 16:14:58;No;Check application form completeness;Loan Officer;Customer Service;7.054243524;7407.224067
182;10;G;2019/01/10 16:15:15;2019/01/10 16:15:15;No;Assess eligibility;Risk Manager;Customer Service;17.79976079;9869.515515
183;19;G;2019/01/10 16:16:54;2019/01/10 16:16:54;No;Assess eligibility;Risk Manager;Customer Service;19.14853403;10193.4704
184;25;A;2019/01/10 16:20:00;2019/01/10 16:20:00;No;Check application form completeness;Loan Officer;Customer Service;12.469406;11600.20029
185;22;C;2019/01/10 16:20:07;2019/01/10 16:20:07;No;Receive updated application;Loan Officer;Customer Service;7.750750311;9695.268422
186;15;G;2019/01/10 16:24:40;2019/01/10 16:24:40;No;Assess eligibility;Risk Manager;Customer Service;16.67960618;11614.81179
