case,event,startTime,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:31:32.823,2019/01/10 08:31:32.823
2,A,2019/01/10 08:40:00.000,2019/01/10 08:40:00.000
1,D,2019/01/10 08:56:26.167,2019/01/10 08:56:26.167
0,C,2019/01/10 08:58:05.332,2019/01/10 08:58:05.332
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
2,B,2019/01/10 09:05:16.518,2019/01/10 09:05:16.518
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
1,F,2019/01/10 09:28:32.145,2019/01/10 09:28:32.145
0,A,2019/01/10 09:33:16.871,2019/01/10 09:33:16.871
2,C,2019/01/10 09:33:46.446,2019/01/10 09:33:46.446
3,B,2019/01/10 09:36:50.743,2019/01/10 09:36:50.743
5,A,2019/01/10 09:40:00.000,2019/01/10 09:40:00.000
4,D,2019/01/10 09:49:32.155,2019/01/10 09:49:32.155
1,E,2019/01/10 09:51:51.694,2019/01/10 09:51:51.694
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
0,B,2019/01/10 10:05:19.113,2019/01/10 10:05:19.113
2,A,2019/01/10 10:05:28.087,2019/01/10 10:05:28.087
3,C,2019/01/10 10:08:30.019,2019/01/10 10:08:30.019
5,D,2019/01/10 10:09:21.019,2019/01/10 10:09:21.019
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
4,F,2019/01/10 10:23:40.398,2019/01/10 10:23:40.398
1,G,2019/01/10 10:26:01.655,2019/01/10 10:26:01.655
6,D,2019/01/10 10:30:25.100,2019/01/10 10:30:25.100
2,D,2019/01/10 10:31:26.264,2019/01/10 10:31:26.264
0,C,2019/01/10 10:34:56.757,2019/01/10 10:34:56.757
5,F,2019/01/10 10:37:48.878,2019/01/10 10:37:48.878
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
3,A,2019/01/10 10:41:04.805,2019/01/10 10:41:04.805
7,B,2019/01/10 10:49:07.630,2019/01/10 10:49:07.630
4,E,2019/01/10 10:51:31.356,2019/01/10 10:51:31.356
1,H,2019/01/10 10:54:05.351,2019/01/10 10:54:05.351
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
2,F,2019/01/10 11:04:57.698,2019/01/10 11:04:57.698
6,F,2019/01/10 11:05:04.139,2019/01/10 11:05:04.139
3,B,2019/01/10 11:09:22.799,2019/01/10 11:09:22.799
5,E,2019/01/10 11:10:18.192,2019/01/10 11:10:18.192
0,A,2019/01/10 11:10:27.516,2019/01/10 11:10:27.516
8,D,2019/01/10 11:11:58.876,2019/01/10 11:11:58.876
7,C,2019/01/10 11:18:07.949,2019/01/10 11:18:07.949
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
4,G,2019/01/10 11:21:15.347,2019/01/10 11:21:15.347
9,D,2019/01/10 11:30:27.448,2019/01/10 11:30:27.448
2,E,2019/01/10 11:32:23.917,2019/01/10 11:32:23.917
6,E,2019/01/10 11:35:09.368,2019/01/10 11:35:09.368
3,C,2019/01/10 11:37:25.456,2019/01/10 11:37:25.456
8,F,2019/01/10 11:39:47.391,2019/01/10 11:39:47.391
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
0,B,2019/01/10 11:41:08.126,2019/01/10 11:41:08.126
5,G,2019/01/10 11:43:31.644,2019/01/10 11:43:31.644
10,B,2019/01/10 11:44:59.884,2019/01/10 11:44:59.884
7,A,2019/01/10 11:45:47.123,2019/01/10 11:45:47.123
4,I,2019/01/10 11:53:44.821,2019/01/10 11:53:44.821
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
9,F,2019/01/10 12:00:11.299,2019/01/10 12:00:11.299
6,G,2019/01/10 12:04:08.567,2019/01/10 12:04:08.567
2,G,2019/01/10 12:04:30.876,2019/01/10 12:04:30.876
8,E,2019/01/10 12:05:32.989,2019/01/10 12:05:32.989
3,A,2019/01/10 12:06:11.228,2019/01/10 12:06:11.228
11,D,2019/01/10 12:08:04.220,2019/01/10 12:08:04.220
7,D,2019/01/10 12:10:43.129,2019/01/10 12:10:43.129
0,C,2019/01/10 12:11:00.759,2019/01/10 12:11:00.759
5,I,2019/01/10 12:14:17.539,2019/01/10 12:14:17.539
10,C,2019/01/10 12:15:56.553,2019/01/10 12:15:56.553
13,A,2019/01/10 12:20:00.000,2019/01/10 12:20:00.000
9,E,2019/01/10 12:24:53.509,2019/01/10 12:24:53.509
4,J,2019/01/10 12:25:26.954,2019/01/10 12:25:26.954
11,F,2019/01/10 12:33:56.593,2019/01/10 12:33:56.593
2,H,2019/01/10 12:34:21.445,2019/01/10 12:34:21.445
3,D,2019/01/10 12:35:03.323,2019/01/10 12:35:03.323
12,D,2019/01/10 12:37:06.811,2019/01/10 12:37:06.811
6,H,2019/01/10 12:38:00.815,2019/01/10 12:38:00.815
8,G,2019/01/10 12:39:46.777,2019/01/10 12:39:46.777
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
7,F,2019/01/10 12:40:15.839,2019/01/10 12:40:15.839
0,A,2019/01/10 12:42:12.026,2019/01/10 12:42:12.026
10,A,2019/01/10 12:46:55.118,2019/01/10 12:46:55.118
5,J,2019/01/10 12:46:55.361,2019/01/10 12:46:55.361
9,G,2019/01/10 12:50:18.697,2019/01/10 12:50:18.697
13,D,2019/01/10 12:52:05.311,2019/01/10 12:52:05.311
4,K,2019/01/10 12:59:29.762,2019/01/10 12:59:29.762
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
3,F,2019/01/10 13:06:18.428,2019/01/10 13:06:18.428
11,E,2019/01/10 13:06:30.312,2019/01/10 13:06:30.312
5,L,2019/01/10 13:08:11.207,2019/01/10 13:08:11.207
8,I,2019/01/10 13:08:31.800,2019/01/10 13:08:31.800
12,F,2019/01/10 13:08:52.154,2019/01/10 13:08:52.154
7,E,2019/01/10 13:10:27.045,2019/01/10 13:10:27.045
14,B,2019/01/10 13:10:57.184,2019/01/10 13:10:57.184
0,B,2019/01/10 13:11:18.662,2019/01/10 13:11:18.662
10,B,2019/01/10 13:18:01.825,2019/01/10 13:18:01.825
9,H,2019/01/10 13:19:36.262,2019/01/10 13:19:36.262
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
15,B,2019/01/10 13:25:12.350,2019/01/10 13:25:12.350
4,M,2019/01/10 13:25:54.155,2019/01/10 13:25:54.155
13,F,2019/01/10 13:26:45.485,2019/01/10 13:26:45.485
11,G,2019/01/10 13:33:39.430,2019/01/10 13:33:39.430
5,M,2019/01/10 13:36:26.031,2019/01/10 13:36:26.031
12,E,2019/01/10 13:37:52.629,2019/01/10 13:37:52.629
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
14,C,2019/01/10 13:40:02.263,2019/01/10 13:40:02.263
7,G,2019/01/10 13:40:08.625,2019/01/10 13:40:08.625
0,C,2019/01/10 13:40:18.981,2019/01/10 13:40:18.981
3,E,2019/01/10 13:40:45.028,2019/01/10 13:40:45.028
8,J,2019/01/10 13:41:48.592,2019/01/10 13:41:48.592
16,B,2019/01/10 13:46:16.507,2019/01/10 13:46:16.507
10,C,2019/01/10 13:50:27.105,2019/01/10 13:50:27.105
4,N,2019/01/10 13:52:36.781,2019/01/10 13:52:36.781
13,E,2019/01/10 13:54:01.627,2019/01/10 13:54:01.627
15,C,2019/01/10 13:59:42.580,2019/01/10 13:59:42.580
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
11,H,2019/01/10 14:04:22.318,2019/01/10 14:04:22.318
5,O,2019/01/10 14:06:26.322,2019/01/10 14:06:26.322
3,G,2019/01/10 14:06:35.268,2019/01/10 14:06:35.268
14,A,2019/01/10 14:07:36.454,2019/01/10 14:07:36.454
7,I,2019/01/10 14:07:45.545,2019/01/10 14:07:45.545
17,B,2019/01/10 14:08:01.809,2019/01/10 14:08:01.809
0,A,2019/01/10 14:08:12.871,2019/01/10 14:08:12.871
12,G,2019/01/10 14:08:17.445,2019/01/10 14:08:17.445
8,L,2019/01/10 14:16:07.468,2019/01/10 14:16:07.468
16,C,2019/01/10 14:17:50.288,2019/01/10 14:17:50.288
10,A,2019/01/10 14:19:12.964,2019/01/10 14:19:12.964
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
13,G,2019/01/10 14:26:10.126,2019/01/10 14:26:10.126
18,D,2019/01/10 14:28:55.810,2019/01/10 14:28:55.810
15,A,2019/01/10 14:29:06.878,2019/01/10 14:29:06.878
7,J,2019/01/10 14:33:33.736,2019/01/10 14:33:33.736
12,I,2019/01/10 14:35:42.685,2019/01/10 14:35:42.685
17,C,2019/01/10 14:35:48.976,2019/01/10 14:35:48.976
14,B,2019/01/10 14:36:39.531,2019/01/10 14:36:39.531
3,I,2019/01/10 14:38:00.842,2019/01/10 14:38:00.842
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
0,D,2019/01/10 14:41:05.477,2019/01/10 14:41:05.477
10,D,2019/01/10 14:45:04.373,2019/01/10 14:45:04.373
19,D,2019/01/10 14:46:31.544,2019/01/10 14:46:31.544
16,A,2019/01/10 14:46:55.584,2019/01/10 14:46:55.584
8,M,2019/01/10 14:47:09.831,2019/01/10 14:47:09.831
15,D,2019/01/10 14:56:08.070,2019/01/10 14:56:08.070
13,H,2019/01/10 14:56:09.088,2019/01/10 14:56:09.088
18,F,2019/01/10 14:58:12.210,2019/01/10 14:58:12.210
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
14,C,2019/01/10 15:02:10.063,2019/01/10 15:02:10.063
17,A,2019/01/10 15:02:26.351,2019/01/10 15:02:26.351
7,K,2019/01/10 15:03:46.982,2019/01/10 15:03:46.982
12,J,2019/01/10 15:06:01.716,2019/01/10 15:06:01.716
0,F,2019/01/10 15:06:46.287,2019/01/10 15:06:46.287
3,J,2019/01/10 15:07:58.244,2019/01/10 15:07:58.244
16,B,2019/01/10 15:11:49.626,2019/01/10 15:11:49.626
20,B,2019/01/10 15:12:11.287,2019/01/10 15:12:11.287
19,F,2019/01/10 15:14:38.379,2019/01/10 15:14:38.379
10,F,2019/01/10 15:14:55.129,2019/01/10 15:14:55.129
8,N,2019/01/10 15:15:15.774,2019/01/10 15:15:15.774
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
18,E,2019/01/10 15:24:28.412,2019/01/10 15:24:28.412
15,F,2019/01/10 15:28:36.201,2019/01/10 15:28:36.201
21,B,2019/01/10 15:29:28.192,2019/01/10 15:29:28.192
17,D,2019/01/10 15:32:17.961,2019/01/10 15:32:17.961
3,L,2019/01/10 15:34:49.106,2019/01/10 15:34:49.106
7,M,2019/01/10 15:35:58.147,2019/01/10 15:35:58.147
12,L,2019/01/10 15:36:54.172,2019/01/10 15:36:54.172
0,E,2019/01/10 15:37:10.627,2019/01/10 15:37:10.627
23,A,2019/01/10 15:40:00.000,2019/01/10 15:40:00.000
14,A,2019/01/10 15:40:15.072,2019/01/10 15:40:15.072
16,C,2019/01/10 15:43:21.976,2019/01/10 15:43:21.976
20,C,2019/01/10 15:44:44.681,2019/01/10 15:44:44.681
22,B,2019/01/10 15:45:10.002,2019/01/10 15:45:10.002
19,E,2019/01/10 15:46:06.434,2019/01/10 15:46:06.434
10,E,2019/01/10 15:48:13.094,2019/01/10 15:48:13.094
18,G,2019/01/10 15:55:28.323,2019/01/10 15:55:28.323
21,C,2019/01/10 15:57:12.206,2019/01/10 15:57:12.206
3,M,2019/01/10 15:57:24.844,2019/01/10 15:57:24.844
15,E,2019/01/10 15:58:19.526,2019/01/10 15:58:19.526
17,F,2019/01/10 15:58:54.100,2019/01/10 15:58:54.100
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
7,O,2019/01/10 16:02:15.555,2019/01/10 16:02:15.555
12,M,2019/01/10 16:06:04.268,2019/01/10 16:06:04.268
0,G,2019/01/10 16:07:31.360,2019/01/10 16:07:31.360
23,D,2019/01/10 16:10:27.859,2019/01/10 16:10:27.859
14,D,2019/01/10 16:11:25.457,2019/01/10 16:11:25.457
16,A,2019/01/10 16:13:19.877,2019/01/10 16:13:19.877
20,A,2019/01/10 16:14:57.981,2019/01/10 16:14:57.981
10,G,2019/01/10 16:15:15.349,2019/01/10 16:15:15.349
19,G,2019/01/10 16:16:54.174,2019/01/10 16:16:54.174
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
22,C,2019/01/10 16:20:07.057,2019/01/10 16:20:07.057
15,G,2019/01/10 16:24:39.519,2019/01/10 16:24:39.519
21,A,2019/01/10 16:27:49.776,2019/01/10 16:27:49.776
18,H,2019/01/10 16:28:22.935,2019/01/10 16:28:22.935
24,B,2019/01/10 16:29:01.194,2019/01/10 16:29:01.194
3,O,2019/01/10 16:30:57.649,2019/01/10 16:30:57.649
17,E,2019/01/10 16:33:39.077,2019/01/10 16:33:39.077
14,F,2019/01/10 16:34:31.641,2019/01/10 16:34:31.641
12,O,2019/01/10 16:37:01.415,2019/01/10 16:37:01.415
0,H,2019/01/10 16:39:50.955,2019/01/10 16:39:50.955
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
16,D,2019/01/10 16:42:11.616,2019/01/10 16:42:11.616
10,I,2019/01/10 16:43:29.969,2019/01/10 16:43:29.969
19,I,2019/01/10 16:43:44.857,2019/01/10 16:43:44.857
23,F,2019/01/10 16:44:48.335,2019/01/10 16:44:48.335
22,A,2019/01/10 16:46:20.269,2019/01/10 16:46:20.269
20,D,2019/01/10 16:49:24.256,2019/01/10 16:49:24.256
25,B,2019/01/10 16:51:25.617,2019/01/10 16:51:25.617
24,C,2019/01/10 16:53:47.214,2019/01/10 16:53:47.214
